Time,SessionTag,SubscriberTag,IMSI,Country,Provider,IMEI,Manufacturer,Model,TMSI,Protocol,Latitude,Longitude,Data Source
2025-10-28 10:23:57,,,732101728634523,Colombia,Comcel SA Occel SA / Celcaribe,,,,C0CB0202,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\vpb5iqny.n51\cellular1.db3
2025-10-28 10:23:57,,,732101693852092,Colombia,Comcel SA Occel SA / Celcaribe,,,,C50F8F5D,LTE,1.854510,-76.202182,C:\Users\GRIGE-10\AppData\Local\Temp\4glj4vz0.uts\cellular2.db3
2025-10-28 10:23:57,,,732360021857969,Colombia,,,,,F0B47BAD,LTE,1.854510,-76.202183,C:\Users\GRIGE-10\AppData\Local\Temp\4glj4vz0.uts\cellular2.db3
2025-10-28 10:23:57,,,732101621811408,Colombia,Comcel SA Occel SA / Celcaribe,,,,CB01B9A8,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\41puoxx2.bre\cellular3.db3
2025-10-28 10:23:57,,,732360021857969,Colombia,,,,,F0B47BAD,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\41puoxx2.bre\cellular3.db3
2025-10-28 10:23:57,,,732101639263239,Colombia,Comcel SA Occel SA / Celcaribe,,,,D50CC432,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\41puoxx2.bre\cellular3.db3
2025-10-28 10:23:57,,,732101743201772,Colombia,Comcel SA Occel SA / Celcaribe,,,,C30B271D,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\41puoxx2.bre\cellular3.db3
2025-10-28 10:23:58,,,732101693852092,Colombia,Comcel SA Occel SA / Celcaribe,,,,C50F8F5D,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\vpb5iqny.n51\cellular1.db3
2025-10-28 10:23:58,,,732101672086771,Colombia,Comcel SA Occel SA / Celcaribe,,,,C1A81CAC,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\vpb5iqny.n51\cellular1.db3
2025-10-28 10:23:58,,,732101679950327,Colombia,Comcel SA Occel SA / Celcaribe,,,,CB1ADC9F,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\vpb5iqny.n51\cellular1.db3
2025-10-28 10:23:58,,,732101694673641,Colombia,Comcel SA Occel SA / Celcaribe,,,,D598B310,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\vpb5iqny.n51\cellular1.db3
2025-10-28 10:23:58,,,732360021857969,Colombia,,,,,F0B47BAD,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\vpb5iqny.n51\cellular1.db3
2025-10-28 10:23:58,,,732101621811408,Colombia,Comcel SA Occel SA / Celcaribe,,,,CB01B9A8,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\4glj4vz0.uts\cellular2.db3
2025-10-28 10:23:58,,,732101672086771,Colombia,Comcel SA Occel SA / Celcaribe,,,,C1A81CAC,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\4glj4vz0.uts\cellular2.db3
2025-10-28 10:23:58,,,732101728634523,Colombia,Comcel SA Occel SA / Celcaribe,,,,C0CB0202,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\41puoxx2.bre\cellular3.db3
2025-10-28 10:23:58,,,732101597985052,Colombia,Comcel SA Occel SA / Celcaribe,,,,CB2A0CDA,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\41puoxx2.bre\cellular3.db3
2025-10-28 10:23:58,,,732101679950327,Colombia,Comcel SA Occel SA / Celcaribe,,,,CB1ADC9F,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\41puoxx2.bre\cellular3.db3
2025-10-28 10:23:59,,,732101743201772,Colombia,Comcel SA Occel SA / Celcaribe,,,,C30B271D,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\vpb5iqny.n51\cellular1.db3
2025-10-28 10:23:59,,,732101621811408,Colombia,Comcel SA Occel SA / Celcaribe,,,,CB01B9A8,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\vpb5iqny.n51\cellular1.db3
2025-10-28 10:23:59,,,732101689526673,Colombia,Comcel SA Occel SA / Celcaribe,,,,D1332738,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\vpb5iqny.n51\cellular1.db3
2025-10-28 10:23:59,,,732101639263239,Colombia,Comcel SA Occel SA / Celcaribe,,,,D50CC432,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\4glj4vz0.uts\cellular2.db3
2025-10-28 10:23:59,,,732101728634523,Colombia,Comcel SA Occel SA / Celcaribe,,,,C0CB0202,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\4glj4vz0.uts\cellular2.db3
2025-10-28 10:23:59,,,732101669452988,Colombia,Comcel SA Occel SA / Celcaribe,,,,C102CE51,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\4glj4vz0.uts\cellular2.db3
2025-10-28 10:23:59,,,732101694673641,Colombia,Comcel SA Occel SA / Celcaribe,,,,D598B310,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\4glj4vz0.uts\cellular2.db3
2025-10-28 10:23:59,,,732101547359489,Colombia,Comcel SA Occel SA / Celcaribe,,,,D4B456C9,LTE,1.854511,-76.202184,C:\Users\GRIGE-10\AppData\Local\Temp\41puoxx2.bre\cellular3.db3
